,station_code,name,country,installation height (m),latitude,longitude,elevation (m),timezone,savanna,GMT+,Start recording,End recording,Percentage of recorded period recorded,Percentage of study period recorded,Start recording (GMT),End recording (GMT)
37,TA00341,CEG Mas̩d̩na,TG,2.0,9.948090398,1.283022018,343.4,Africa/Abidjan,yes,0.0,,,82.23635856755456,82.23635856755456,2018-07-01 00:00:00,2022-12-31 00:00:00
38,TA00342,CEG1 Bemberke,BJ,2.0,10.221683,2.669973,403.0,Africa/Lagos,yes,1.0,,,68.24938444235038,56.90245076919178,2018-07-01 00:00:00,2022-04-01 16:00:00
39,TA00352,CEG1 Gogounou,BJ,2.0,9.3576084,2.6125534,402.0,Africa/Lagos,yes,1.0,,,0,0,,
40,TA00366,Selingue-Meteo,ML,2.0,11.645452,-8.208413,361.5,Africa/Abidjan,yes,0.0,,,70.07410862354892,68.53790201992041,2018-07-01 00:00:00,2022-11-24 23:00:00
41,TA00380,Massigui,ML,2.0,11.860938,-6.776466,343.0,Africa/Abidjan,yes,0.0,,,0,0,,
42,TA00382,Narena,ML,2.0,12.226193,-8.633027,390.0,Africa/Abidjan,yes,0.0,,,36.08992067313785,36.08992067313785,2018-07-01 00:00:00,2022-12-31 00:00:00
43,TA00383,Lyc̩e de Cinkass̩,TG,2.0,11.092596,0.039696,298.0,Africa/Abidjan,yes,0.0,,,71.20409559773931,71.20409559773931,2018-07-01 00:00:00,2022-12-31 00:00:00
44,TA00397,Geo_Abu_Zaria,NG,2.0,11.14010885,7.656400513,664.5,Africa/Lagos,yes,1.0,,,53.46326380616874,53.46326380616874,2018-07-01 00:00:00,2022-12-31 00:00:00
45,TA00398,IAR_Zaria,NG,2.0,11.1824797,7.6161899,691.0,Africa/Lagos,yes,1.0,,,99.6984058595433,99.6984058595433,2018-07-01 00:00:00,2022-12-31 00:00:00
46,TA00405,Fari,ML,2.0,12.163199,-10.6661021,449.108,Africa/Abidjan,yes,0.0,,,82.32506272651241,82.32506272651241,2018-07-01 00:00:00,2022-12-31 00:00:00
47,TA00410,yangambi,CD,2.1,0.820137263,24.45626304,463.9,Africa/Maputo,no,2.0,,,77.08,73.25696327647819,2018-09-20 13:00:00,2022-12-31 00:00:00
48,TA00457,"Env. Sc - Dutse, Jigawa",NG,2.0,11.708374,9.365427,441.0,Africa/Lagos,yes,1.0,,,92.64008921103986,92.64008921103986,2018-07-01 00:00:00,2022-12-31 00:00:00
49,TA00458,"Geog - Buk, Kano",NG,2.0,11.975591,8.4274552,463.0,Africa/Lagos,yes,1.0,,,64.7623087213286,50.30539574726917,2018-10-31 23:00:00,2022-04-30 23:00:00
50,TA00459,"Geog - IBBU, Lapai, Niger",NG,2.0,9.066148,6.56908,198.0,Africa/Lagos,yes,1.0,,,34.19047619047619,29.11523937450896,2018-07-01 00:00:00,2022-04-30 23:00:00
51,TA00462,CEG Vohitsaoka,MG,2.5,-22.03939,46.721629,824.0,Africa/Nairobi,no,3.0,,,91.92538713029373,91.92538713029373,2018-07-01 00:00:00,2022-12-31 00:00:00
52,TA00467,Lyc̩e de Mandouri,TG,2.0,10.858742,0.793002,145.0,Africa/Abidjan,yes,0.0,,,95.87145500164736,95.87145500164736,2018-07-01 00:00:00,2022-12-31 00:00:00
53,TA00527,"Geog-UNiJOS, Jos",NG,2.0,9.967314,8.880703,1140.2,Africa/Lagos,yes,1.0,,,53.50408028231143,49.185188939858584,2018-08-11 16:00:00,2022-09-30 23:00:00
54,TA00577,"Env. Mgt- Tech, Bauchi",NG,2.0,10.487147,9.788223,566.0,Africa/Lagos,yes,1.0,,,27.970283151107374,25.285754112071366,2018-08-12 12:00:00,2022-09-06 17:00:00
55,TA00579,"Geog, FU Kashere, Gombe",NG,2.0,9.913203,11.008132,383.0,Africa/Lagos,yes,1.0,,,34.453059950041634,33.55805053602656,2018-08-12 17:00:00,2022-12-31 00:00:00
56,TA00581,"Geog, MAU Yola, Adamawa",NG,2.0,9.34997,12.495768,220.0,Africa/Lagos,yes,1.0,,,100.0,80.68023417897965,2018-08-13 14:00:00,2022-03-31 23:00:00
57,TA00583,"Phy - FUG, Gusau",NG,2.0,12.1233866,6.7855732,492.0,Africa/Lagos,yes,1.0,,,99.99501743896363,50.86296474643282,2018-12-23 07:00:00,2021-04-07 12:00:00
58,TA00616,"CSIR-SARI, Nyankpala - Tamale",GH,2.5,9.400825,-1.001911,191.0,Africa/Accra,yes,0.0,,,82.08040605366594,67.21494284917759,2019-04-24 18:00:00,2022-12-31 00:00:00
59,TA00633,EPP Piami,BJ,2.0,10.9566302,3.6362912,251.0,Africa/Lagos,yes,1.0,,,100.0,21.25858529538485,2019-06-17 12:00:00,2020-05-31 23:00:00
60,TA00634,EPP Gu̩ne Laga,BJ,2.0,11.23936,3.449561,274.0,Africa/Lagos,yes,1.0,,,23.157064585754608,14.139442937881745,2019-06-18 12:00:00,2022-03-18 07:00:00
61,TA00635,EPP Zougou Pantrossi,BJ,2.0,10.735738,2.980187,317.0,Africa/Lagos,yes,1.0,,,99.98515659789223,34.14349798514839,2019-06-19 14:00:00,2020-12-31 23:00:00
62,TA00652,Gbegbeyise Palace,GH,2.0,5.525557,-0.263749,15.0,Africa/Accra,no,0.0,,,99.42397289284202,59.49261221076109,2019-09-03 12:00:00,2022-05-14 05:00:00
63,TA00665,IITA Mokwa,NG,2.0,9.3524274,5.0171848,191.6,Africa/Lagos,yes,1.0,,,72.56747297192192,47.291988747243835,2020-01-24 15:00:00,2022-12-31 00:00:00
64,TA00666,IITA Abuja,NG,2.0,9.163178,7.3430155,438.0,Africa/Lagos,yes,1.0,,,66.96665471495159,47.33507362445194,2019-10-25 23:00:00,2022-12-31 00:00:00
65,TA00682,INERA Saria,BF,2.0,12.278628,-2.1570462,306.1,Africa/Abidjan,yes,0.0,,,86.25028167956134,58.20260029905974,2019-12-17 15:00:00,2022-12-31 00:00:00
66,TA00684,Balgo-Yargho,BF,2.0,12.044388,-0.256202,310.0,Africa/Abidjan,yes,0.0,,,85.93108642440218,57.83257723597841,2019-12-20 14:00:00,2022-12-31 00:00:00
67,TA00687,Yatinoma,BF,2.0,12.197303,-1.396142,276.0,Africa/Abidjan,yes,0.0,,,66.64896240373307,44.52441898775882,2019-12-28 18:00:00,2022-12-31 00:00:00
68,TA00710,Phy&E_FU-Otuoke,NG,2.0,4.794438,6.32184,7.0,Africa/Lagos,no,1.0,,,88.37031369548585,55.617507666573744,2020-03-01 08:00:00,2022-12-31 00:00:00
69,TA00720,Edea,CM,2.0,3.8011784,10.1206417,35.9,Africa/Lagos,no,1.0,,,52.66036797613127,29.523278505715083,2020-06-22 08:00:00,2022-12-31 00:00:00
